record_id,customer_id,customer_name,customer_segment,city,state,event_ts,event_date,cell_tower_id,network_type,call_type,duration_sec,data_mb,sms_count,dropped_flag,signal_strength,latency_ms,complaint_code,revenue_inr,plan_type
14,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-01-21 16:51:00,2026-01-21,BLR_102,4G,VOICE,1154,0.0,0,0,63,23,NO_ISSUE,20.34,POSTPAID
15,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-01-26 14:20:00,2026-01-26,HYD_501,4G,DATA_SESSION,290,1809.76,0,0,95,144,DROP,38.01,POSTPAID
16,1007,Vi SME,SMB,Kolkata,West Bengal,2026-02-07 16:03:00,2026-02-07,KOL_701,5G,VOICE,1399,0.0,0,0,47,25,NO_ISSUE,16.49,PREPAID
17,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-08 15:36:00,2026-02-08,MUM_201,4G,VOICE,174,0.0,0,0,47,45,NO_ISSUE,2.75,PREPAID
18,1007,Vi SME,SMB,Kolkata,West Bengal,2026-02-14 10:53:00,2026-02-14,KOL_701,5G,VOICE,140,0.0,0,0,35,109,NO_ISSUE,2.9,CORPORATE
19,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-01-18 12:50:00,2026-01-18,MUM_201,5G,VOICE,1206,0.0,0,0,42,201,NO_ISSUE,7.24,CORPORATE
20,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-03-29 16:51:00,2026-03-29,BLR_102,5G,VOICE,160,0.0,0,0,65,113,NO_ISSUE,3.65,CORPORATE
21,1007,Vi SME,SMB,Kolkata,West Bengal,2026-03-02 02:03:00,2026-03-02,BLR_101,4G,DATA_SESSION,554,514.63,0,0,75,142,NO_ISSUE,22.65,PREPAID
22,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-26 18:56:00,2026-02-26,HYD_501,5G,SMS,0,0.0,1,0,44,147,NO_ISSUE,0.23,PREPAID
23,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-15 14:36:00,2026-01-15,MUM_201,4G,VOICE,639,0.0,0,0,36,173,NO_SIGNAL,4.52,PREPAID
24,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-26 21:30:00,2026-01-26,CHE_401,5G,DATA_SESSION,436,1720.31,0,0,68,139,NO_ISSUE,85.5,POSTPAID
25,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-01-01 13:44:00,2026-01-01,BLR_101,4G,VOICE,556,0.0,0,0,91,238,NO_ISSUE,4.02,PREPAID
26,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-02-23 06:30:00,2026-02-23,MUM_201,4G,DATA_SESSION,105,774.1,0,0,40,203,NO_ISSUE,11.97,POSTPAID
27,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-03-20 22:45:00,2026-03-20,DEL_301,5G,VOICE,382,0.0,0,0,38,55,DROP,4.45,CORPORATE
28,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-15 17:46:00,2026-01-15,DEL_301,4G,DATA_SESSION,99,2147.19,0,0,63,122,LOW_SPEED,49.09,PREPAID
29,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-03-02 07:51:00,2026-03-02,BLR_102,4G,VOICE,1790,0.0,0,1,70,199,NO_ISSUE,23.26,PREPAID
30,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-17 12:05:00,2026-01-17,DEL_301,5G,DATA_SESSION,98,275.46,0,0,90,98,DROP,10.54,POSTPAID
31,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-05 06:57:00,2026-01-05,BLR_102,4G,DATA_SESSION,1671,1348.44,0,0,60,206,NO_ISSUE,103.21,CORPORATE
32,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-02-16 09:49:00,2026-02-16,CHE_401,4G,VOICE,844,0.0,0,0,51,118,NO_ISSUE,20.09,CORPORATE
33,1007,Vi SME,SMB,Kolkata,West Bengal,2026-02-20 02:59:00,2026-02-20,MUM_201,4G,DATA_SESSION,450,1077.57,0,0,76,258,NO_ISSUE,41.14,CORPORATE
34,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-27 01:56:00,2026-01-27,BLR_102,4G,VOICE,706,0.0,0,1,65,178,NO_ISSUE,6.34,POSTPAID
35,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-07 23:21:00,2026-02-07,PUN_601,4G,SMS,0,0.0,1,0,84,273,NO_ISSUE,0.23,PREPAID
36,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-01-17 06:13:00,2026-01-17,HYD_501,5G,DATA_SESSION,971,130.29,0,0,66,41,NO_ISSUE,25.2,CORPORATE
37,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-26 00:21:00,2026-02-26,CHE_401,5G,DATA_SESSION,893,2077.27,0,0,92,50,DROP,55.25,CORPORATE
38,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-27 07:09:00,2026-02-27,MUM_201,4G,VOICE,1481,0.0,0,0,69,191,NO_ISSUE,23.4,CORPORATE
39,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-01-07 02:18:00,2026-01-07,PUN_601,4G,VOICE,974,0.0,0,0,61,235,NO_ISSUE,19.87,CORPORATE
40,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-01-01 18:52:00,2026-01-01,DEL_301,4G,SMS,0,0.0,1,0,84,234,NO_ISSUE,0.23,POSTPAID
41,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-02-09 22:05:00,2026-02-09,BLR_101,4G,VOICE,1389,0.0,0,0,86,104,LOW_SPEED,32.49,POSTPAID
42,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-28 18:06:00,2026-02-28,CHE_401,5G,VOICE,392,0.0,0,1,83,93,NO_ISSUE,4.52,POSTPAID
43,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-13 01:24:00,2026-02-13,DEL_301,4G,VOICE,736,0.0,0,0,43,40,DROP,17.66,PREPAID
44,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-13 08:30:00,2026-02-13,CHE_401,4G,DATA_SESSION,466,1165.26,0,0,67,208,NO_ISSUE,54.5,PREPAID
45,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-22 22:09:00,2026-02-22,BLR_102,4G,VOICE,1407,0.0,0,0,83,223,NO_SIGNAL,12.62,PREPAID
46,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-03-19 15:29:00,2026-03-19,PUN_601,5G,DATA_SESSION,1650,2459.69,0,0,40,98,NO_ISSUE,61.46,PREPAID
47,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-01-10 20:33:00,2026-01-10,KOL_701,4G,VOICE,1717,0.0,0,0,54,242,NO_ISSUE,26.5,CORPORATE
48,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-09 21:31:00,2026-02-09,HYD_501,4G,DATA_SESSION,680,2130.02,0,0,46,162,NO_SIGNAL,67.61,POSTPAID
49,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-02-15 05:49:00,2026-02-15,BLR_101,4G,SMS,0,0.0,1,0,62,201,DROP,0.19,POSTPAID
50,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-01-09 01:01:00,2026-01-09,CHE_401,4G,VOICE,1157,0.0,0,0,95,271,NO_ISSUE,6.18,PREPAID
51,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-02-13 07:51:00,2026-02-13,MUM_201,4G,DATA_SESSION,1547,1378.22,0,0,80,252,NO_ISSUE,35.95,PREPAID
52,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-01-20 22:41:00,2026-01-20,MUM_201,4G,DATA_SESSION,1227,2441.63,0,0,71,71,LOW_SPEED,73.07,CORPORATE
53,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-05 09:25:00,2026-01-05,MUM_201,4G,SMS,0,0.0,1,0,51,271,NO_ISSUE,0.15,POSTPAID
54,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-01-24 05:32:00,2026-01-24,CHE_401,4G,SMS,0,0.0,1,0,43,225,NO_ISSUE,0.08,CORPORATE
55,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-23 20:10:00,2026-01-23,CHE_401,5G,VOICE,1261,0.0,0,0,63,208,NO_ISSUE,17.67,POSTPAID
56,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-02-25 17:45:00,2026-02-25,BLR_101,4G,SMS,0,0.0,1,0,61,128,NO_ISSUE,0.16,PREPAID
57,1007,Vi SME,SMB,Kolkata,West Bengal,2026-02-11 06:08:00,2026-02-11,DEL_301,4G,DATA_SESSION,86,582.53,0,0,71,252,NO_ISSUE,12.82,CORPORATE
58,1007,Vi SME,SMB,Kolkata,West Bengal,2026-01-11 16:43:00,2026-01-11,KOL_701,4G,VOICE,564,0.0,0,0,44,50,NO_ISSUE,6.29,POSTPAID
59,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-12 21:53:00,2026-02-12,BLR_101,5G,DATA_SESSION,577,1253.68,0,0,98,122,NO_ISSUE,37.55,POSTPAID
60,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-22 02:05:00,2026-01-22,KOL_701,5G,SMS,0,0.0,1,0,37,205,NO_ISSUE,0.2,POSTPAID
61,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-17 18:28:00,2026-01-17,HYD_501,4G,SMS,0,0.0,1,0,97,66,NO_ISSUE,0.07,PREPAID
62,1007,Vi SME,SMB,Kolkata,West Bengal,2026-03-05 09:21:00,2026-03-05,BLR_101,5G,VOICE,840,0.0,0,0,39,126,NO_ISSUE,8.44,CORPORATE
63,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-07 20:45:00,2026-02-07,KOL_701,4G,VOICE,1295,0.0,0,0,91,46,NO_ISSUE,20.7,CORPORATE
64,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-03 21:03:00,2026-01-03,KOL_701,4G,SMS,0,0.0,1,0,65,101,NO_ISSUE,0.09,PREPAID
65,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-03-01 04:56:00,2026-03-01,DEL_301,4G,DATA_SESSION,1487,733.19,0,0,69,232,LOW_SPEED,51.07,POSTPAID
66,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-03-20 21:29:00,2026-03-20,KOL_701,5G,VOICE,1769,0.0,0,0,99,78,LOW_SPEED,18.85,CORPORATE
67,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-10 21:29:00,2026-02-10,DEL_301,4G,VOICE,1150,0.0,0,0,83,253,NO_SIGNAL,25.75,POSTPAID
68,1007,Vi SME,SMB,Kolkata,West Bengal,2026-01-05 05:20:00,2026-01-05,KOL_701,4G,VOICE,1681,0.0,0,0,54,273,BILLING,12.65,PREPAID
69,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-18 02:57:00,2026-02-18,HYD_501,4G,SMS,0,0.0,1,0,53,229,LOW_SPEED,0.21,POSTPAID
70,1007,Vi SME,SMB,Kolkata,West Bengal,2026-03-01 09:35:00,2026-03-01,BLR_102,4G,VOICE,1401,0.0,0,0,83,182,NO_ISSUE,31.87,CORPORATE
71,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-02-27 16:47:00,2026-02-27,BLR_101,4G,DATA_SESSION,485,1868.18,0,0,90,70,DROP,35.45,POSTPAID
72,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-01-30 18:36:00,2026-01-30,PUN_601,4G,DATA_SESSION,787,1079.56,0,0,66,291,NO_ISSUE,33.24,CORPORATE
73,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-02-15 13:10:00,2026-02-15,MUM_201,4G,SMS,0,0.0,1,0,94,150,NO_ISSUE,0.14,POSTPAID
74,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-10 10:58:00,2026-02-10,KOL_701,5G,SMS,0,0.0,1,0,73,173,BILLING,0.11,POSTPAID
75,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-22 20:11:00,2026-01-22,BLR_101,4G,VOICE,625,0.0,0,0,72,31,BILLING,11.35,CORPORATE
76,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-03-18 01:21:00,2026-03-18,MUM_201,4G,SMS,0,0.0,1,0,64,200,NO_ISSUE,0.2,CORPORATE
77,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-03-24 11:30:00,2026-03-24,HYD_501,4G,DATA_SESSION,1635,1104.85,0,0,81,87,NO_ISSUE,61.91,PREPAID
78,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-03-17 20:11:00,2026-03-17,PUN_601,5G,VOICE,1006,0.0,0,0,72,201,LOW_SPEED,21.21,PREPAID
79,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-01-09 11:16:00,2026-01-09,KOL_701,4G,DATA_SESSION,1118,313.35,0,0,82,154,NO_ISSUE,38.9,PREPAID
80,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-02-26 15:25:00,2026-02-26,MUM_201,4G,SMS,0,0.0,1,0,63,52,NO_ISSUE,0.18,PREPAID
81,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-03-28 09:08:00,2026-03-28,MUM_201,5G,VOICE,257,0.0,0,1,52,109,NO_ISSUE,4.73,POSTPAID
82,1007,Vi SME,SMB,Kolkata,West Bengal,2026-03-01 20:41:00,2026-03-01,BLR_102,4G,VOICE,855,0.0,0,0,70,36,NO_ISSUE,7.99,POSTPAID
83,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-02-19 19:24:00,2026-02-19,DEL_301,4G,SMS,0,0.0,1,0,42,223,NO_ISSUE,0.21,PREPAID
84,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-01-05 20:29:00,2026-01-05,HYD_501,4G,DATA_SESSION,277,1968.51,0,0,61,55,LOW_SPEED,70.31,PREPAID
85,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-03-14 00:49:00,2026-03-14,BLR_101,4G,SMS,0,0.0,1,0,53,86,NO_ISSUE,0.22,PREPAID
86,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-03-14 03:44:00,2026-03-14,BLR_102,4G,DATA_SESSION,52,439.74,0,0,41,84,DROP,18.32,POSTPAID
87,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-16 02:39:00,2026-02-16,BLR_102,4G,VOICE,1509,0.0,0,0,73,254,NO_ISSUE,8.49,POSTPAID
88,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-03-07 02:15:00,2026-03-07,HYD_501,4G,SMS,0,0.0,1,0,45,184,NO_ISSUE,0.18,CORPORATE
89,1007,Vi SME,SMB,Kolkata,West Bengal,2026-02-24 15:01:00,2026-02-24,PUN_601,4G,VOICE,1259,0.0,0,0,49,130,NO_ISSUE,28.66,POSTPAID
90,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-29 16:46:00,2026-01-29,MUM_201,5G,VOICE,786,0.0,0,0,95,27,NO_ISSUE,5.27,POSTPAID
91,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-02-23 15:09:00,2026-02-23,BLR_101,4G,SMS,0,0.0,1,0,50,230,NO_ISSUE,0.22,CORPORATE
92,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-02-24 21:36:00,2026-02-24,DEL_301,4G,VOICE,1059,0.0,0,0,96,134,LOW_SPEED,12.71,POSTPAID
93,1007,Vi SME,SMB,Kolkata,West Bengal,2026-03-19 04:16:00,2026-03-19,CHE_401,5G,DATA_SESSION,1293,1535.87,0,0,38,165,NO_SIGNAL,59.7,CORPORATE
94,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-02-02 04:49:00,2026-02-02,PUN_601,5G,VOICE,1179,0.0,0,0,43,46,DROP,28.81,POSTPAID
95,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-01 06:41:00,2026-02-01,PUN_601,4G,VOICE,684,0.0,0,0,45,46,NO_ISSUE,13.74,POSTPAID
96,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-25 12:10:00,2026-02-25,BLR_101,4G,VOICE,1566,0.0,0,0,79,240,NO_ISSUE,29.07,POSTPAID
97,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-02-06 05:27:00,2026-02-06,BLR_101,4G,SMS,0,0.0,1,0,61,174,NO_SIGNAL,0.11,PREPAID
98,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-03-10 05:52:00,2026-03-10,HYD_501,4G,VOICE,1110,0.0,0,0,99,201,NO_ISSUE,24.68,PREPAID
99,1007,Vi SME,SMB,Kolkata,West Bengal,2026-02-22 10:36:00,2026-02-22,BLR_102,4G,VOICE,612,0.0,0,1,37,186,NO_ISSUE,14.66,POSTPAID
100,1007,Vi SME,SMB,Kolkata,West Bengal,2026-03-19 02:48:00,2026-03-19,BLR_102,4G,VOICE,840,0.0,0,0,85,178,DROP,7.92,CORPORATE
101,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-03-24 17:01:00,2026-03-24,BLR_102,4G,DATA_SESSION,1697,1615.38,0,0,53,140,NO_ISSUE,44.54,CORPORATE
102,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-03-28 20:07:00,2026-03-28,CHE_401,4G,DATA_SESSION,1565,1411.52,0,0,92,185,LOW_SPEED,50.1,POSTPAID
103,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-02-24 01:58:00,2026-02-24,PUN_601,4G,VOICE,655,0.0,0,0,39,49,NO_ISSUE,7.04,PREPAID
104,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-23 01:44:00,2026-02-23,BLR_102,5G,DATA_SESSION,104,1127.09,0,0,59,92,NO_ISSUE,56.01,POSTPAID
105,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-01-04 19:30:00,2026-01-04,BLR_101,4G,VOICE,919,0.0,0,0,55,206,NO_ISSUE,9.79,CORPORATE
106,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-01-07 05:59:00,2026-01-07,PUN_601,4G,VOICE,811,0.0,0,0,54,190,NO_ISSUE,14.82,CORPORATE
107,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-24 09:53:00,2026-02-24,BLR_102,4G,DATA_SESSION,1164,944.81,0,0,77,85,NO_ISSUE,62.49,CORPORATE
108,1007,Vi SME,SMB,Kolkata,West Bengal,2026-02-16 12:48:00,2026-02-16,BLR_101,4G,VOICE,389,0.0,0,0,78,268,NO_ISSUE,9.72,PREPAID
109,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-03-22 00:30:00,2026-03-22,CHE_401,4G,DATA_SESSION,791,389.86,0,0,58,104,DROP,14.23,POSTPAID
110,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-01-22 13:11:00,2026-01-22,PUN_601,4G,VOICE,1676,0.0,0,0,59,208,NO_ISSUE,27.5,POSTPAID
111,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-03-16 14:31:00,2026-03-16,BLR_102,4G,VOICE,532,0.0,0,1,96,210,NO_ISSUE,3.75,POSTPAID
112,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-01-26 01:55:00,2026-01-26,DEL_301,4G,VOICE,1721,0.0,0,0,63,250,NO_SIGNAL,40.63,POSTPAID
113,1007,Vi SME,SMB,Kolkata,West Bengal,2026-01-08 16:16:00,2026-01-08,KOL_701,4G,VOICE,222,0.0,0,0,77,94,NO_ISSUE,2.38,PREPAID
114,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-26 06:14:00,2026-02-26,CHE_401,4G,VOICE,544,0.0,0,0,54,300,NO_SIGNAL,9.34,PREPAID
115,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-05 14:18:00,2026-01-05,CHE_401,4G,VOICE,1295,0.0,0,0,49,275,NO_ISSUE,6.9,PREPAID
116,1007,Vi SME,SMB,Kolkata,West Bengal,2026-01-01 09:25:00,2026-01-01,BLR_101,4G,DATA_SESSION,873,472.35,0,0,45,288,BILLING,20.21,CORPORATE
117,1007,Vi SME,SMB,Kolkata,West Bengal,2026-03-21 17:49:00,2026-03-21,HYD_501,4G,VOICE,784,0.0,0,0,37,202,DROP,9.33,CORPORATE
118,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-01-05 06:51:00,2026-01-05,BLR_101,4G,VOICE,1336,0.0,0,0,94,265,NO_ISSUE,28.36,POSTPAID
119,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-19 14:22:00,2026-01-19,DEL_301,4G,VOICE,105,0.0,0,0,74,283,NO_ISSUE,2.24,CORPORATE
120,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-02-02 17:49:00,2026-02-02,HYD_501,4G,SMS,0,0.0,1,0,77,159,NO_ISSUE,0.2,POSTPAID
121,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-15 09:58:00,2026-02-15,BLR_102,4G,DATA_SESSION,1652,1300.59,0,0,45,237,NO_ISSUE,83.95,POSTPAID
122,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-31 02:21:00,2026-01-31,CHE_401,4G,DATA_SESSION,1254,1795.57,0,0,56,247,NO_ISSUE,87.78,POSTPAID
123,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-01-08 01:55:00,2026-01-08,DEL_301,4G,DATA_SESSION,1070,2003.73,0,0,55,35,NO_ISSUE,101.01,PREPAID
124,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-02-03 05:07:00,2026-02-03,HYD_501,4G,VOICE,1259,0.0,0,0,92,209,NO_ISSUE,25.51,POSTPAID
125,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-01-23 23:17:00,2026-01-23,KOL_701,4G,SMS,0,0.0,1,0,58,275,NO_ISSUE,0.2,CORPORATE
126,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-02-25 22:39:00,2026-02-25,HYD_501,5G,VOICE,1025,0.0,0,0,52,28,NO_ISSUE,23.55,CORPORATE
127,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-03-06 20:00:00,2026-03-06,BLR_101,4G,VOICE,634,0.0,0,0,57,205,NO_ISSUE,4.71,POSTPAID
128,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-02-20 16:16:00,2026-02-20,BLR_102,4G,DATA_SESSION,1149,328.78,0,0,46,53,NO_ISSUE,41.46,POSTPAID
129,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-03-30 18:11:00,2026-03-30,PUN_601,4G,VOICE,974,0.0,0,0,79,85,LOW_SPEED,20.07,PREPAID
130,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-03-17 22:12:00,2026-03-17,CHE_401,4G,VOICE,357,0.0,0,0,63,197,NO_SIGNAL,5.49,PREPAID
131,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-27 03:22:00,2026-02-27,BLR_101,4G,VOICE,1049,0.0,0,0,54,107,NO_ISSUE,20.36,CORPORATE
132,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-01-08 15:26:00,2026-01-08,CHE_401,4G,VOICE,1201,0.0,0,0,61,233,NO_ISSUE,6.73,CORPORATE
133,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-01-23 12:56:00,2026-01-23,HYD_501,5G,DATA_SESSION,629,1136.59,0,0,42,50,NO_ISSUE,29.88,POSTPAID
134,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-03-31 00:44:00,2026-03-31,PUN_601,5G,VOICE,1074,0.0,0,0,75,71,NO_ISSUE,11.12,POSTPAID
135,1007,Vi SME,SMB,Kolkata,West Bengal,2026-01-23 20:21:00,2026-01-23,KOL_701,5G,SMS,0,0.0,1,0,76,157,DROP,0.25,POSTPAID
136,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-02-15 12:31:00,2026-02-15,KOL_701,5G,VOICE,1055,0.0,0,0,65,65,NO_ISSUE,6.3,CORPORATE
137,1005,Airtel Prepaid,Retail,Hyderabad,Telangana,2026-02-19 02:25:00,2026-02-19,CHE_401,4G,VOICE,294,0.0,0,0,81,226,NO_ISSUE,3.83,CORPORATE
138,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-05 09:59:00,2026-02-05,MUM_201,5G,VOICE,592,0.0,0,0,50,42,BILLING,7.62,POSTPAID
139,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-02-25 02:06:00,2026-02-25,HYD_501,4G,VOICE,112,0.0,0,1,77,262,NO_ISSUE,0.89,CORPORATE
140,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-06 00:25:00,2026-02-06,KOL_701,5G,SMS,0,0.0,1,0,73,161,NO_ISSUE,0.19,POSTPAID
